sample,Jar,ST_ID,Date_extracted,Volume_mL,Notes,Cruise_ID,Year,DbSta_ID,Quarter,Distance,Date,Julian_Date,Julian_Day,Time.x,Lat_Dec,Lat_Deg,Lat_Min,Lat_Hem,Lon_Dec,Lon_Deg,Lon_Min,Lon_Hem,Rpt_Line,Ac_Line,Rpt_Sta,Ac_Sta,Bottom_D,ForelU,Order_Occ,Event_Num,Cruz_Num,IntChl,mean_100_T,mean_100_Salinity,mean_100_O2,mean_100_O2_sat,mean_100_silicate,mean_100_PO4,mean_100_NO3,mean_100_NO2,mean_100_NH3,mean_100_CHLa,mean_100_Phaeo,mean_100_DIC1,Month,round_Lat,round_Lon,Year,mean_sst,stdev_sst,n.x,satellite_date.x,Time.y,lon_min.x,lon_max.x,lat_min.x,lat_max.x,median_sst,mad_sst,lon.x,lat.x,two_month_sst,y.x,annual_sst,mean_chla,stdev_chla,n.y,satellite_date.y,Time,lon_min.y,lon_max.y,lat_min.y,lat_max.y,median_chla,mad_chla,lon.y,lat.y,two_month_chla,annual_chla
X2000_4_80_60,0004_80_60,0004_80_60,6/26/2019,125,low_normal,2000-04-07-C-31JD,2000,8000600,2,-38.75,4/19/2000,36635,110,12/30/1899 21:21:00,34.148333,34,8.9,N,-121.156666,-121,9.4,W,80,80,60,60.1,2220,NA,54,532,4,92.3,11.76090909,33.63618182,4.620909091,76.18181818,14.62727273,1.177272727,12.72727273,0.161818182,NA,0.898181818,0.576363636,NA,4,34.2,-121.1,2000,12.58566667,0.284455721,30,2000-04-16T00:00:00Z,16T00:00:00Z,-121.248333,-121.048333,34.051666,34.251666,12.645,0.311346,-121.148333,34.151666,12.80133333,y,14.27561027,0.651430275,0.108028554,30,2000-04-01T00:00:00Z,01T00:00:00Z,-121.248333,-121.048333,34.051666,34.251666,0.662421674,0.135111177,-121.148333,34.151666,0.712794688,0.615785958
X2000_4_86.7_50,0004_86.7_50,0004_86.7_50,6/26/2019,125,low_normal,2000-04-07-C-31JD,2000,8670500,2,-71.17,4/15/2000,36631,106,12/30/1899 02:23:00,33.323333,33,19.4,N,-119.666666,-119,40,W,86.7,86.7,50,50,84,NA,33,322,4,67.8,10.72571429,33.77085714,3.941428571,63.22857143,19.51428571,1.531428571,18.18571429,0.19,NA,0.854285714,0.69,NA,4,33.3,-119.7,2000,13.76361111,0.261393549,36,2000-04-16T00:00:00Z,16T00:00:00Z,-119.761666,-119.561666,33.225,33.425,13.775,0.274281,-119.661666,33.325,13.38327614,y,14.47504419,0.569950453,0.095125609,36,2000-04-01T00:00:00Z,01T00:00:00Z,-119.761666,-119.561666,33.225,33.425,0.598871291,0.092689453,-119.661666,33.325,0.612306316,0.620880859
X2000_4_93.3_30,0004_93.3_30,0004_93.3_30,6/26/2019,125,low_normal,2000-04-07-C-31JD,2000,9330300,2,-15.11,4/8/2000,36624,99,12/30/1899 03:41:00,32.846666,32,50.8,N,-117.538333,-117,32.3,W,93.3,93.3,30,30.1,859,NA,3,22,4,29.8,12.54,33.6359,4.71,78.82,11.64,1.008,10.71,0.154,NA,0.313,0.165,NA,4,32.8,-117.5,2000,16.60694444,0.198736285,36,2000-04-16T00:00:00Z,16T00:00:00Z,-117.626666,-117.426666,32.748333,32.948333,16.565,0.103782,-117.526666,32.848333,15.92819444,y,17.30505184,0.230655376,0.036260807,36,2000-04-01T00:00:00Z,01T00:00:00Z,-117.626666,-117.426666,32.748333,32.948333,0.220411144,0.030872183,-117.526666,32.848333,0.251952596,0.305155023
X2000_4_93.3_60,0004_93.3_60,0004_93.3_60,6/26/2019,125,low_normal,2000-04-07-C-31JD,2000,9330600,2,-134.08,4/9/2000,36625,100,12/30/1899 06:12:00,31.85,31,51,N,-119.568333,-119,34.1,W,93.3,93.3,60,59.9,1870,NA,9,82,4,39.2,14.13727273,33.40309091,5.88,100.6636364,2.872727273,0.409090909,1.236363636,0.027272727,NA,0.340909091,0.146363636,NA,4,31.8,-119.6,2000,15.55972222,0.123090817,36,2000-04-16T00:00:00Z,16T00:00:00Z,-119.671666,-119.471666,31.748333,31.948333,15.615,0.103782,-119.571666,31.848333,15.03013889,y,15.98715278,0.28059399,0.012125403,36,2000-04-01T00:00:00Z,01T00:00:00Z,-119.671666,-119.471666,31.748333,31.948333,0.281448558,0.010103722,-119.571666,31.848333,0.275555423,0.260697094
X2001_4_80_60,0104_80_60,0104_80_60,6/26/2019,75,full,2001-04-05-C-31JD,2001,8000600,2,-39.06,4/20/2001,37000,110,12/30/1899 09:33:00,34.145,34,8.7,N,-121.161666,-121,9.7,W,80,80,60,60.2,2265,NA,54,532,104,76.3,11.49833333,33.35275,5.656666667,91.825,7.866666667,0.793333333,7.1,0.1,NA,0.706666667,0.261666667,NA,4,34.2,-121.1,2001,12.29233333,0.131874636,30,2001-04-16T00:00:00Z,16T00:00:00Z,-121.248333,-121.048333,34.051666,34.251666,12.335,0.118608,-121.148333,34.151666,12.48383333,y,14.29201533,0.970887705,0.13811915,30,2001-04-01T00:00:00Z,01T00:00:00Z,-121.248333,-121.048333,34.051666,34.251666,0.982656032,0.133267914,-121.148333,34.151666,0.760484863,0.65256688
X2001_4_86.7_50,0104_86.7_50,0104_86.7_50,6/26/2019,125,normal,2001-04-05-C-31JD,2001,8670500,2,-70.98,4/14/2001,36994,104,12/30/1899 12:40:00,33.32,33,19.2,N,-119.66,-119,39.6,W,86.7,86.7,50,50,79,NA,33,322,104,204.2,11.27333333,33.67533333,5.032222222,81.48888889,12.9,1.098888889,11.52222222,0.133333333,NA,3.086666667,0.973333333,NA,4,33.3,-119.7,2001,12.50354839,0.127267393,31,2001-04-16T00:00:00Z,16T00:00:00Z,-119.761666,-119.561666,33.225,33.425,12.52,0.088956,-119.661666,33.325,12.98483871,y,15.17069835,1.299313676,0.137439141,36,2001-04-01T00:00:00Z,01T00:00:00Z,-119.761666,-119.561666,33.225,33.425,1.302862704,0.105661881,-119.661666,33.325,0.917131673,0.740547796
X2001_4_93.3_30,0104_93.3_30,0104_93.3_30,6/26/2019,125,low_normal,2001-04-05-C-31JD,2001,9330300,2,-14.85,4/7/2001,36987,97,12/30/1899 01:36:00,32.845,32,50.7,N,-117.531666,-117,31.9,W,93.3,93.3,30,30,859,NA,3,22,104,29.1,12.23307692,33.60707692,4.686923077,77.83846154,11.82307692,0.989230769,10.48461538,0.051538462,NA,0.318461538,0.177692308,NA,4,32.8,-117.5,2001,15.80861111,0.177476804,36,2001-04-16T00:00:00Z,16T00:00:00Z,-117.626666,-117.426666,32.748333,32.948333,15.815,0.207564,-117.526666,32.848333,15.51541667,y,17.77913955,0.244194251,0.084161794,36,2001-04-01T00:00:00Z,01T00:00:00Z,-117.626666,-117.426666,32.748333,32.948333,0.215673126,0.037922605,-117.526666,32.848333,0.240024598,0.254921758
X2001_4_93.3_60,0104_93.3_60,0104_93.3_60,6/26/2019,125,low_normal,2001-04-05-C-31JD,2001,9330600,2,-133.93,4/8/2001,36988,98,12/30/1899 03:45:00,31.855,31,51.3,N,-119.568333,-119,34.1,W,93.3,93.3,60,59.9,2011,NA,9,82,104,26.1,13.1575,33.34133333,5.813333333,97.5,4.775,0.474166667,2.216666667,0.073333333,NA,0.240833333,0.088333333,NA,4,31.8,-119.6,2001,14.61972222,0.225356684,36,2001-04-16T00:00:00Z,16T00:00:00Z,-119.671666,-119.471666,31.748333,31.948333,14.64,0.29652,-119.571666,31.848333,14.55416667,y,16.25399422,0.159486776,0.008873415,36,2001-04-01T00:00:00Z,01T00:00:00Z,-119.671666,-119.471666,31.748333,31.948333,0.159897655,0.01037642,-119.571666,31.848333,0.182017615,0.22411884
X2002_4_80_60,0204_80_60,0204_80_60,6/26/2019,75,full,2002-03-28-C-31JD,2002,8000600,2,-38.73,4/9/2002,37355,99,12/30/1899 09:49:00,34.146666,34,8.8,N,-121.155,-121,9.3,W,80,80,60,60.1,2210,NA,54,532,204,58.5,11.167,33.5881,4.784,77.41,13.39,1.195,12.88,0.154,NA,0.39,0.244,NA,4,34.2,-121.1,2002,13.00366667,0.516022476,30,2002-04-16T00:00:00Z,16T00:00:00Z,-121.248333,-121.048333,34.051666,34.251666,12.9,0.355824,-121.148333,34.151666,13.00766667,y,14.32467214,0.749748284,0.091140462,30,2002-04-01T00:00:00Z,01T00:00:00Z,-121.248333,-121.048333,34.051666,34.251666,0.728660941,0.087089367,-121.148333,34.151666,0.623369942,0.658230678
X2002_4_86.7_50,0204_86.7_50,0204_86.7_50,6/26/2019,125,full,2002-03-28-C-31JD,2002,8670500,2,-70.74,4/4/2002,37350,94,12/30/1899 12:38:00,33.323333,33,19.4,N,-119.656666,-119,39.4,W,86.7,86.7,50,49.9,77,NA,33,322,204,40,11.78875,33.55025,5.3475,87.3,8.4,0.94625,8.2375,0.1925,NA,0.53875,0.5675,NA,4,33.3,-119.7,2002,13.37166667,0.384941405,30,2002-04-16T00:00:00Z,16T00:00:00Z,-119.761666,-119.561666,33.225,33.425,13.47,0.326172,-119.661666,33.325,13.67069048,y,14.90376171,1.37461251,0.192692513,36,2002-04-01T00:00:00Z,01T00:00:00Z,-119.761666,-119.561666,33.225,33.425,1.396894157,0.191878596,-119.661666,33.325,1.167217592,0.737718314
